Date,flow,average temperature (C),precipitation,ET [kg/m^2/8day]
2014-01-06,89.0,20.91869468972193,0.0,215.60085789295704
2014-01-07,98.0,20.922219350872,0.0241357143127599,215.6308117893965
2014-01-08,95.0,20.92574401202206,0.0,215.66076568583588
2014-01-09,92.0,20.92926867317213,0.0,215.6907195822753
2014-01-10,90.0,20.887289339785795,0.0,214.89397683507192
2014-01-11,86.0,20.84531000639946,0.0,214.09723408786857
2014-01-12,98.0,20.80333067301312,0.0,213.3004913406652
2014-01-13,102.0,20.76135133962679,0.0,212.5037485934618
2014-01-14,96.0,20.71937200624045,0.0853946075256469,211.70700584625845
2014-01-15,94.0,20.67739267285412,0.0,210.91026309905504
2014-01-16,91.0,20.63541333946778,0.0,210.1135203518517
2014-01-17,87.0,20.59343400608145,0.0,209.3167776046483
2014-01-18,86.0,20.85893293460702,0.0,209.260471336114
2014-01-19,85.0,21.12443186313259,0.0,209.20416506757968
2014-01-20,82.0,21.38993079165816,0.053384477105829,209.14785879904537
2014-01-21,82.0,21.65542972018373,0.0,209.09155253051105
2014-01-22,91.0,21.9209286487093,0.0,209.0352462619767
2014-01-23,93.0,22.18642757723487,0.0,208.9789399934424
2014-01-24,98.0,22.45192650576044,0.0,208.92263372490808
2014-01-25,98.0,22.71742543428601,0.0,208.86632745637377
2014-01-26,96.0,22.73075917118612,0.0,206.4002361354237
2014-01-27,94.0,22.74409290808623,0.0,203.93414481447368
2014-01-28,93.0,22.75742664498634,0.0,201.46805349352368
2014-01-29,93.0,22.770760381886447,0.0149223132876425,199.0019621725736
2014-01-30,99.0,22.784094118786555,0.0,196.53587085162357
2014-01-31,99.0,22.797427855686664,0.0021863684532255,194.06977953067351
2014-02-01,98.0,22.810761592586772,0.0,191.6036882097235
2014-02-02,95.0,22.824095329486884,0.0,189.13759688877343
2014-02-03,95.0,22.846180036839435,0.0,190.80171404550904
2014-02-04,100.0,22.868264744191983,0.0,192.4658312022446
2014-02-05,100.0,22.89034945154453,0.0,194.12994835898024
2014-02-06,98.0,22.91243415889708,0.0,195.7940655157158
2014-02-07,95.0,22.934518866249636,0.0094791276119351,197.4581826724514
2014-02-08,101.0,22.95660357360218,0.0062541286928976,199.122299829187
2014-02-09,100.0,22.978688280954728,0.0273472416186964,200.78641698592256
2014-02-10,96.0,23.00077298830728,0.0,202.45053414265817
2014-02-11,96.0,23.18093397830205,0.2166972653406168,201.8270657644128
2014-02-12,94.0,23.36109496829683,0.0639566997733092,201.20359738616744
2014-02-13,93.0,23.541255958291604,0.0,200.58012900792207
2014-02-14,93.0,23.72141694828638,0.0,199.95666062967672
2014-02-15,93.0,23.901577938281157,0.0,199.3331922514313
2014-02-16,93.0,24.08173892827593,0.0,198.709723873186
2014-02-17,98.0,24.261899918270704,0.2941068393699603,198.08625549494064
2014-02-18,98.0,24.44206090826548,0.0,197.46278711669524
2014-02-19,98.0,24.682685093218105,0.0,193.63840293454436
2014-02-20,98.0,24.92330927817073,0.0,189.81401875239345
2014-02-21,101.0,25.16393346312336,0.0,185.9896345702425
2014-02-22,102.0,25.404557648075983,0.0,182.1652503880916
2014-02-23,102.0,25.645181833028616,0.0,178.3408662059407
2014-02-24,99.0,25.88580601798124,0.0,174.5164820237898
2014-02-25,102.0,26.12643020293387,0.0563777374602554,170.69209784163888
2014-02-26,103.0,26.367054387886498,0.0,166.86771365948798
2014-02-27,100.0,26.445597206196584,0.0,165.71166898028233
2014-02-28,99.0,26.524140024506668,0.0,164.55562430107665
2014-03-01,98.0,26.602682842816755,0.0282589390873839,163.399579621871
2014-03-02,96.0,26.68122566112684,0.0,162.24353494266535
2014-03-03,93.0,26.759768479436925,0.2411691705562982,161.08749026345967
2014-03-04,93.0,26.83831129774701,0.0,159.93144558425402
2014-03-05,89.0,26.91685411605709,0.0,158.77540090504834
2014-03-06,89.0,26.995396934367182,0.0,157.6193562258427
2014-03-07,89.0,27.221115267814696,0.0,155.6890312242441
2014-03-08,88.0,27.44683360126221,0.0,153.7587062226455
2014-03-09,86.0,27.672551934709723,0.0,151.82838122104687
2014-03-10,86.0,27.898270268157237,0.0,149.89805621944828
2014-03-11,83.0,28.123988601604747,0.1890025735843923,147.9677312178497
2014-03-12,82.0,28.34970693505226,0.0,146.03740621625107
2014-03-13,82.0,28.57542526849977,0.2583891845766905,144.10708121465245
2014-03-14,91.0,28.801143601947288,0.0165729501557941,142.17675621305386
2014-03-15,95.0,28.766520567610204,0.0,141.49614225671576
2014-03-16,94.0,28.73189753327312,0.0,140.81552830037765
2014-03-17,89.0,28.69727449893604,0.1165390914303028,140.13491434403952
2014-03-18,87.0,28.66265146459895,0.1293388264658786,139.4543003877014
2014-03-19,81.0,28.62802843026187,0.0,138.7736864313633
2014-03-20,75.0,28.593405395924787,0.0,138.09307247502517
2014-03-21,72.0,28.558782361587703,0.0,137.41245851868706
2014-03-22,69.0,28.52415932725062,0.0,136.73184456234895
2014-03-23,69.0,28.67723432773295,1.950191752226748,135.833927378962
2014-03-24,71.0,28.83030932821529,0.0134005189816308,134.936010195575
2014-03-25,72.0,28.983384328697618,0.0,134.03809301218803
2014-03-26,74.0,29.13645932917995,0.0,133.14017582880103
2014-03-27,71.0,29.28953432966228,0.0,132.24225864541407
2014-03-28,74.0,29.442609330144613,1.2723824962640888,131.3443414620271
2014-03-29,76.0,29.59568433062695,0.0,130.4464242786401
2014-03-30,75.0,29.74875933110928,0.6004080852339148,129.54850709525314
2014-03-31,72.0,29.60550961631773,0.5781972864397961,130.56780866184812
2014-04-01,72.0,29.46225990152618,0.0,131.58711022844307
2014-04-02,72.0,29.31901018673463,0.0131880906578539,132.60641179503804
2014-04-03,70.0,29.17576047194308,0.0,133.62571336163302
2014-04-04,69.0,29.03251075715153,0.0236149995067833,134.645014928228
2014-04-05,69.0,28.88926104235998,0.0,135.66431649482297
2014-04-06,68.0,28.746011327568432,0.0,136.68361806141792
2014-04-07,69.0,28.60276161277688,0.0,137.7029196280129
2014-04-08,65.0,28.870893482296403,0.0,136.672549699319
2014-04-09,65.0,29.139025351815928,0.0,135.6421797706251
2014-04-10,70.0,29.40715722133545,0.1775447574837182,134.61180984193118
2014-04-11,73.0,29.67528909085497,0.2988032212557639,133.5814399132373
2014-04-12,73.0,29.943420960374496,0.0179960187725232,132.5510699845434
2014-04-13,69.0,30.211552829894018,1.0049990461763774,131.5207000558495
2014-04-14,69.0,30.479684699413543,0.0022125148505886,130.49033012715557
2014-04-15,66.0,30.747816568933064,3.3523736248451907,129.4599601984617
2014-04-16,66.0,30.59800317125457,0.7716329583681292,128.04703178263404
2014-04-17,66.0,30.44818977357608,0.0493934828218265,126.6341033668064
2014-04-18,54.0,30.298376375897597,0.0991070976302034,125.22117495097876
